order,name,rank
1,M525.177T7.95,1
2,M497.181T7.66,2
3,M569.203T8.56,3.535714286
4,M297.117T9.82,8.785714286
5,M283.101T9.05,154.8571429
6,M315.127T11.25,157.6547619
7,M265.108T8.53,226.6130952
8,M411.111T9.76,302.6011905
9,M237.077T10.15,307.875
10,M319.119T9.67,445.7916667
11,M281.086T8.67,520.077381
12,M352.148T8.23,592.0595238
13,M349.13T7.69,593.7321429
14,M307.119T7.06,668.5892857
15,M279.124T5.64,668.7559524
16,M299.132T9.25,735.0892857
17,M313.093T7.71,737.6428571
18,M307.155T8.91,740.6190476
19,M331.084T8.25,809.7261905
20,M367.212T8.73,812.7559524
21,M281.086T8.47,881.8630952
22,M590.229T7.27,881.8988095
23,M411.148T10.13,882.5238095
24,M182.013T0.76,883.6607143
25,M431.301T9.32,885.1904762
26,M363.181T10.62,953.3869048
27,M457.188T10.06,955.1488095
28,M387.146T8.17,957.6547619
29,M517.208T9.45,1025.303571
30,M638.236T6.33,1027.892857
31,M772.868T0.56,1027.89881
32,M337.129T7.36,1095.630952
33,M257.085T9.37,1096.386905
34,M358.081T5.08,1099.005952
35,M369.137T9.11,1166.761905
36,M329.105T8.44,1167.708333
37,M583.222T10.13,1167.916667
38,M315.054T9.54,1168.75
39,M667.265T10.2,1169.714286
40,M561.234T8.89,1171.702381
41,M233.028T9.19,1239.041667
42,M309.134T7.81,1241.029762
43,M204.124T4.77,1241.083333
44,M377.273T15.9,1241.214286
45,M215.129T9.3,1241.345238
46,M389.161T7.84,1241.392857
47,M681.281T10.25,1241.732143
48,M387.11T7.69,1242.125
49,M134.895T18.51,1309.297619
50,M313.111T9.66,1310.02381
51,M307.083T9.33,1310.125
52,M294.065T10.78,1311.25
53,M297.116T10.63,1312.392857
54,M207.139T9.55,1312.464286
55,M313.129T6.94,1313.142857
56,M327.109T6.99,1380.619048
57,M341.07T9.23,1380.952381
58,M317.106T10.22,1381.52381
59,M391.122T9.14,1381.738095
60,M489.213T9.4,1381.982143
61,M453.286T13.95,1382.708333
62,M437.088T6.31,1382.797619
63,M355.086T8.25,1382.970238
64,M491.193T8.08,1383.166667
65,M441.157T9.16,1383.315476
66,M392.109T7.04,1383.565476
67,M585.127T6.5,1383.761905
68,M347.115T8.37,1383.85119
69,M283.101T9.32,1384.02381
70,M399.111T8.37,1384.517857
71,M359.079T9.05,1451.625
72,M473.146T8.11,1452
73,M833.385T8.72,1452.214286
74,M451.255T9.72,1453.369048
75,M515.156T6.45,1453.446429
