"order","name","rank","1","2","mz_r","Rt_r","RT..min.","m.z.meas.","M.meas.","Ions","MS.MS","Name","Molecular.Formula","Boxplot","feature","M_r"
1,"M525.177T7.95",1.464285714,"525.177","7.95",525.18,7.95,7.95,525.17705,526.18433,"[M-H]-",TRUE,"","C28H30O10",2478.367091,"1997",526.18433
2,"M247.044T9.86",4.69047619,"247.044","9.86",247.04,9.86,9.86,247.04353,248.05081,"[M-H]-",TRUE,"","C9H12O8",4250,"2078",248.05081
3,"M497.181T7.66",4.928571429,"497.181","7.66",497.18,7.66,7.66,497.18139,498.18867,"[M-H]-",TRUE,"SolanoeclepinA-like","C27H30O9",788.2766596,"14",498.18867
4,"M445.223T9.83",79.21428571,"445.223","9.83",445.22,9.83,9.83,445.22299,446.23026,"[M-H]-",TRUE,"","",888.8071087,"845",446.23026
5,"M333.135T7.66",80.57142857,"333.135","7.66",333.14,7.66,7.66,333.13511,334.14238,"[M-H]-",TRUE,"","C18H22O6",1701,"1852",334.14238
6,"M377.273T15.9",152.1547619,"377.273","15.9",377.27,15.9,15.9,377.27299,378.28026,"[M-H]-",TRUE,"","",1681,"1849",378.28026
7,"M243.069T8.19",224.5535714,"243.069","8.19",243.07,8.19,8.19,243.06902,244.0763,"[M-H]-",TRUE,"","C8H12N4O5",742.0989503,"566",244.0763
8,"M527.156T7.38",514.3571429,"527.156","7.38",527.16,7.38,7.38,527.15603,528.16331,"[M-H]-",TRUE,"","",1305.871085,"1592",528.16331
9,"M969.403T4.72",657.1904762,"969.403","4.72",969.4,4.72,4.72,969.40349,970.41076,"[M-H]-",TRUE,"","",653,"439",970.41076
10,"M323.15T9.35",658.6488095,"323.15","9.35",323.15,9.35,9.35,323.15006,324.15733,"[M-H]-",TRUE,"","C18H20N4O2",9420.4701,"2136",324.15733
11,"M387.146T8.17",730.6666667,"387.146","8.17",387.15,8.17,8.17,387.1455,388.15277,"[M-H]-",TRUE,"","C16H24N2O9",1361.725335,"1654",388.15277
12,"M325.075T9.99",873.9821429,"325.075","9.99",325.08,9.99,9.99,325.07524,326.08251,"[M-H]-",TRUE,"","C11H18O11",577.3959645,"345",326.08251
13,"M726.876T0.56",946.8095238,"726.876","0.56",726.88,0.56,0.56,726.87647,727.88375,"[M-H]-",TRUE,"","",722.1164108,"538",727.88375
14,"M309.134T7.81",1018.017857,"309.134","7.81",309.13,7.81,7.81,309.13438,310.14166,"[M-H]-",TRUE,"","C11H22N2O8",1628,"1821",310.14166
15,"M271.155T6.62",1091.011905,"271.155","6.62",271.15,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"M547.255T10.07",1091.619048,"547.255","10.07",547.26,10.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"M501.25T10.48",1235.416667,"501.25","10.48",501.25,10.48,10.48,501.24959,502.25686,"[M-H]-",TRUE,"","",1269.853457,"1546",502.25686
18,"M517.28T10.16",1235.52381,"517.28","10.16",517.28,10.16,10.16,517.28036,518.28764,"[M-H]-",TRUE,"","C29H42O8",847.1845556,"766",518.28764
19,"M347.115T7.37",1306.059524,"347.115","7.37",347.12,7.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"M671.162T4.91",1306.89881,"671.162","4.91",671.16,4.91,4.91,671.16194,672.16922,"[M-H]-",TRUE,"","",764.0258982,"611",672.16922
21,"M515.229T9.69",1307.077381,"515.229","9.69",515.23,9.69,9.69,515.22893,516.2362,"[M-H]-",TRUE,"","",1096.72088,"1273",516.2362
22,"M727.449T11.86",1378.327381,"727.449","11.86",727.45,11.86,11.86,727.44896,728.45623,"[M-H]-",TRUE,"","C35H68O15",3363.505834,"2045",728.45623
23,"M537.194T4.84",1378.494048,"537.194","4.84",537.19,4.84,4.84,537.19395,538.20123,"[M-H]-",TRUE,"","",1129.57757,"1329",538.20123
24,"M531.296T11.11",1378.952381,"531.296","11.11",531.3,11.11,11.11,531.29605,532.30332,"[M-H]-",TRUE,"","",908.4472266,"887",532.30332
