"order","name","rank","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","G1","G10","G11","G12","G13","G14","G15","G17","G18","G19","G2","G21","G22","G23","G4","G5","G6","G7","G8","G9","NP","mz_r"
1,"FT1521",1.473214286,527.189325923553,527.188566426703,527.262509632035,475.029342651367,460.607971191406,481.08251953125,66,5,5,0,5,2,0,2,3,3,3,3,5,0,0,5,5,3,0,4,2,0,527.19
2,"FT1261",1.678571429,499.194352488915,499.193738380926,499.195132032255,459.710159301758,455.718200683594,465.113342285156,38,1,4,0,4,0,0,1,3,2,1,2,5,0,0,4,4,2,0,3,2,0,499.19
3,"FT2196",5.008928571,581.379198124664,581.377662792827,581.41934496646,857.844879150391,851.091491699219,864.366333007812,28,3,0,2,0,0,2,3,2,3,0,0,0,1,0,0,1,3,0,4,1,0,581.38
4,"FT0357",10.83035714,261.129465572169,261.129028126915,261.130207251605,306.861663818359,304.194885253906,311.388092041016,95,5,5,4,2,5,5,5,5,4,5,5,4,5,5,5,4,5,3,4,5,5,261.13
5,"FT0484",537.8214286,307.152505632309,307.152200077269,307.225109382092,560.840515136719,556.868347167969,570.589965820312,90,5,5,0,1,5,5,5,5,5,3,5,5,5,5,5,5,5,2,0,5,5,307.15
6,"FT4751",539.6964286,761.538500094536,761.492994440323,761.547660516134,958.313415527344,937.56689453125,965.158813476562,153,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,761.54
7,"FT5231",1068.464286,806.561265817297,806.53849232671,806.596132725682,1002.95697021484,990.301818847656,1017.61895751953,82,4,4,5,3,1,3,3,4,5,3,4,2,5,1,3,4,3,3,4,3,2,806.56
8,"FT2982",1861.642857,634.451445721675,634.450531774405,634.453201667599,992.980895996094,988.84326171875,997.313110351562,25,1,2,0,0,3,0,0,1,0,3,3,1,4,1,0,2,1,0,0,0,3,634.45
9,"FT5445",1862.776786,832.573768766539,832.572785309288,832.575249328915,910.739410400391,903.391906738281,915.977294921875,38,1,0,5,2,0,3,2,4,4,0,1,0,1,0,1,1,3,3,5,2,0,832.57
10,"FT0027",2389.776786,87.0433325858024,87.0431786541131,87.0434676451058,550.186279296875,546.363525390625,555.640502929688,103,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,87.04
11,"FT1594",2390.125,534.395113281853,534.394347801388,534.39563732192,868.315734863281,863.599060058594,872.791931152344,41,4,4,0,0,0,1,2,2,0,0,4,2,4,3,1,3,3,0,0,3,5,534.4
12,"FT0101",2390.178571,136.930038115928,136.929897416386,136.930262778151,46.1692696075439,42.6568794250488,61.7597198486328,60,1,5,3,2,3,0,2,3,1,2,3,5,3,5,4,2,2,4,2,3,4,136.93
13,"FT0645",2390.696429,357.398892174842,357.398389076604,357.39955978499,39.2311820983887,27.5499038696289,44.4135513305664,104,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,357.4
14,"FT6176",2391.089286,950.695988681666,950.695377647549,950.696933041044,816.788848876953,814.009582519531,820.143737792969,16,1,1,0,0,0,0,1,0,0,0,2,0,3,0,0,3,1,0,0,0,4,950.7
15,"FT0434",2391.642857,289.149239802218,289.13790885364,289.149556659787,289.427627563477,279.737884521484,292.107666015625,36,2,0,4,4,1,0,0,1,1,1,1,5,4,5,0,0,0,2,1,2,0,289.15
16,"FT0570",2391.964286,335.183674558089,335.183246346003,335.184081418599,518.392547607422,498.915649414062,526.560974121094,76,5,4,2,2,5,0,1,2,1,3,2,3,3,4,5,5,4,3,4,3,0,335.18
17,"FT0545",2654.4375,327.006655633996,327.006314571314,327.007104304389,644.557312011719,641.393371582031,646.701965332031,29,4,4,4,1,1,0,1,0,1,1,1,0,1,1,2,0,0,4,2,1,0,327.01
18,"FT3380",2655.035714,661.438363728038,661.437025570017,661.440470137131,887.643981933594,879.507507324219,895.977355957031,93,3,4,4,3,2,4,4,4,5,4,5,4,5,4,3,4,2,5,3,5,3,661.44
19,"FT0082",2655.339286,129.992734677234,129.977935332254,130.085336205158,42.1947288513184,28.3888359069824,56.2360382080078,154,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,5,5,5,5,5,5,129.99
20,"FT2219",2655.616071,583.433152496213,583.4043587639,583.433796513747,1017.10797119141,1009.81848144531,1020.92999267578,29,2,3,2,1,0,0,2,0,0,1,2,0,1,2,2,1,0,2,1,2,5,583.43
21,"FT0199",2920,198.074809988645,198.074780257396,198.074966709747,274.524810791016,270.807647705078,276.618316650391,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,198.07
22,"FT0856",2920.6875,430.860123099879,430.859659008996,430.860626621152,58.2546691894531,46.2714080810547,61.6896934509277,7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,4,430.86
23,"FT3921",3183.071429,698.158645507616,698.130971062845,698.171603249559,1111.40942382812,1098.40075683594,1118.73327636719,177,5,5,5,5,3,5,5,5,5,4,3,2,5,4,5,5,4,5,5,4,5,698.16
24,"FT5243",3183.4375,809.08312726993,809.054371220839,809.084197945931,1043.525390625,1035.18835449219,1049.70751953125,107,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,809.08
