"feature","hatching","pvalue","mz"
"hatching",1,0,NA
"544",0.356706818108461,0.00152996328409852,262.05685
"557",0.337093757123225,0.0315171227191994,697.98366
"719",0.321302778836324,0.000186644745028186,134.03736
"659",0.317687237386418,0.000638396570595149,196.92375
"98",0.316923486094062,0.023750176476345,306.07645
"33",0.308004361743222,1.09275891768683e-05,193.05071
"411",0.302755680343055,2.3011518008716e-06,115.00354
"570",0.301476540778626,4.15710931727811e-07,476.92148
"380",0.294742350666598,1.02081191533944e-06,71.01411
"1057",0.292534532241464,0.0226185297638561,116.92843
"435",0.287228852760032,2.59696942792751e-05,133.01414
"825",0.284473886745617,0.0151259793131788,545.04243
"120",0.283153197488216,0.000639645499675778,309.06153
"1066",0.280143550909528,9.73340865693553e-10,116.92842
"566",0.275854724998164,1.83816069422194e-06,248.96041
"495",0.263830069218244,1.32815632564132e-05,180.97315
"580",0.26243184036281,3.76079131427609e-06,362.94087
"42",0.261806098707153,0.0181718491610765,116.07162
"147",0.259372413770655,0.000827010276019405,445.11728
"1088",0.255580291616397,0.000192339351886279,226.96602
"589",0.253353389394472,6.95745974324208e-06,332.9218
"714",0.249587700383486,1.62283618565317e-05,294.95337
"898",0.247994521270028,0.0124812974346653,551.17684
"76",0.238117828988113,0.00383251508996786,175.04026
"597",0.237277134572873,2.24687690440965e-05,408.9337
"1028",0.234580960716478,0.0351078909734246,178.88438
"622",0.228944362645947,0.0461412888919092,144.95953
"578",0.226811104142605,8.72942925960359e-05,454.92671
"1068",0.226069002332842,0.0179194824072252,116.92843
"689",0.221589251568883,0.000485096602755077,112.98562
"757",0.220191636219162,0.0196533916698147,72.01713
"820",0.217683579067207,0.00224257212578989,538.88865
"556",0.217493505715339,5.23672747009324e-05,416.88332
"280",0.214430444729359,2.51862734008841e-07,604.17302
"490",0.208227407268066,0.0153881725823675,223.04603
"774",0.207261365062346,0.00278179979147068,283.90261
"71",0.205119204950021,2.17430152051588e-05,243.01833
"593",0.20500899448521,0.000171259353621738,492.8955
"759",0.202609350389437,0.000129959187351445,378.9148
"711",0.198256436956096,0.00503484846831422,345.96251
"925",0.194032177185437,0.000399237746450037,264.93423
"656",0.193981022641697,0.000752804586168793,462.87649
"527",0.193918670434637,5.49966227074462e-05,205.03545
"598",0.189341144229224,0.00175217057176461,570.90571
"512",0.188961121339085,0.000145998785104849,209.06673
"749",0.186281888426866,0.0224541861161429,646.77316
"508",0.181387678655573,0.00263381188686859,214.04868
"922",0.180792100374282,0.0216210437447653,196.89491
"856",0.179084545776767,0.0102863705674249,229.90104
"1077",0.178574987720756,0.0131067617841747,116.92841
"184",0.178329317917545,0.00664161758918107,320.06768
"620",0.17298908418645,0.0132690860092665,844.71489
"163",0.172619613219577,0.0135663209195848,503.08634
"639",0.168224256781464,0.0225943331187452,176.91701
"982",0.16784617275816,0.00217139946457883,381.87955
"53",0.167220305293153,0.0139980561111585,96.96956
"72",0.165620723347166,7.61105281987736e-05,243.01826
"610",0.165448792673285,0.000498510953053789,568.90683
"933",0.1653967801869,0.00259556297370598,83.9309
"1099",0.163200070392299,0.0144241609699585,145.92847
"654",0.159781612472614,0.00323082373284827,560.07884
"462",0.15887740759835,0.00672808946461856,130.08729
"949",0.155628827396351,0.0132271383566921,348.89574
"562",0.15198711107403,1.53643579015097e-06,371.09831
"1173",0.150977714901055,0.0361448599120964,272.95895
"1074",0.15027442575607,0.0256567983706579,280.90838
"281",0.149280694959001,0.0292658845072643,495.20815
"16",0.148430832895606,0.0249142035633207,172.09803
"1041",0.14667374637757,0.0215707668968751,364.86972
"142",0.145938887646516,0.0149228538112676,341.08783
"1007",0.145570863856113,0.0345200427163198,417.2052
"251",0.144841886039324,0.000242266880387589,521.17237
"334",0.144693792415424,0.0459833767862427,381.22947
"464",0.144494462719757,0.00414559205899634,120.99652
"276",0.141867446640906,0.000812156574601195,476.13442
"995",0.138844727648857,0.02931036178343,247.83911
"461",0.137788835373631,0.000274627765870069,179.05629
"58",0.13712900441882,0.0147290112539792,289.03315
"313",0.136290781714047,0.000357672105685406,383.18942
"485",0.134215498221016,0.00051962132118733,221.03036
"533",0.133023836448815,0.0114385090420916,135.04516
"599",0.131687256804617,0.00134467186877113,500.84427
"1095",0.131086004019345,0.00529148832961767,61.98869
"847",0.128261008015229,0.0209872730583151,206.97274
"993",0.127616866534366,0.00924757003396243,448.83097
"684",0.126439794987356,0.00857675447231862,730.7342
"564",0.124035598653739,0.0209345920664678,473.03734
"140",0.122062994604488,0.0251245673354696,321.06358
"590",0.121769317692581,0.00148034521305521,648.77194
"931",0.121446697889368,0.0409655654098509,293.98321
"793",0.119930134007796,0.000420004974339316,129.97572
"803",0.119863243320556,0.0190642010100067,814.69566
"636",0.119604457439164,0.0115534164741126,98.93904
"743",0.118463690344574,0.00569931036486207,1000.79889
"196",0.118415385919591,0.019514226516125,293.17575
"84",0.11683206656628,0.00133457346541736,236.10537
"1034",0.11567777791228,0.00524340781191831,1302.7656
"667",0.11562688533412,0.0473658893317662,546.83767
"942",0.114848009129237,0.0148228137374375,443.8117
"236",0.114808312251675,0.00559109474965596,476.95708
"295",0.1135525173937,0.0215442053256512,493.22891
"524",0.113549150476642,0.0179385803635933,187.02487
"1160",0.112342437148275,0.00951250911197594,158.9785
"19",0.112129745191123,0.0451435608379551,353.08771
"32",0.110295196630444,0.000425584179182804,338.98887
"641",0.110148143133094,0.00127057219208116,178.94023
"913",0.109872380913432,0.00658579175070963,503.96073
"615",0.109655437059547,0.00197516152639145,266.96766
"56",0.109612038102403,0.0257865968387745,191.05622
"296",0.108299597392159,0.0117147687253698,493.22871
"1107",0.107394870560249,0.00462197510141987,158.92538
"1176",0.107197965171172,0.00794687238524787,78.95926
"321",0.107038626791723,0.0240195417172669,565.24994
"283",0.106889574690495,0.00175673884742601,497.22395
"521",0.106591401066554,0.0066604234909473,175.09763
"41",0.106415804727724,0.00555124638053786,89.02451
"983",0.106129947906017,0.0088082420410657,61.9887
"294",0.105479615125717,0.000958803632313956,499.23947
"608",0.105111083624549,0.044033924614999,130.98314
"1002",0.103811507647183,0.00382105124277295,997.32402
"91",0.103667636479525,0.00868711209023841,195.1391
"677",0.103510073134371,0.0392813985140386,660.81818
"554",0.103309776470697,0.00228456378300229,179.03514
"391",0.10283309751707,0.00168199094698661,73.02972
"187",0.100758098759728,0.00410247799585977,379.06921
"70",0.100683338589646,0.0028402784909575,177.01942
"242",0.100452909882037,0.0324371571435278,443.11946
"434",0.100330971858198,0.00304668675649548,133.01421
"1142",0.100214177717878,0.0269747043774741,502.91837
