"","c","s"
"1","m/z 525.17 Rt 7.95","exudate_neg_hatching"
"2","SolanoeclepinA-like","exudate_neg_hatching"
"3","m/z 337.16 Rt 8.64","exudate_neg_hatching"
"4","m/z 969.40 Rt 4.72","exudate_neg_hatching"
"5","m/z 387.14 Rt 8.17","exudate_neg_hatching"
"6","m/z 451.10 Rt 6.42","exudate_neg_hatching"
"7","m/z 349.12 Rt 7.69","exudate_neg_hatching"
"8","m/z 309.13 Rt 7.81","exudate_neg_hatching"
"9","m/z 794.86 Rt 0.56","exudate_neg_hatching"
"10","m/z 333.13 Rt 7.66","exudate_neg_hatching"
"11","m/z 221.11 Rt 10.40","exudate_pos_hatching"
"12","m/z 583.42 Rt 18.48","exudate_pos_hatching"
"13","m/z 730.18 Rt 17.85","exudate_pos_hatching"
"14","m/z 705.50 Rt 15.57","exudate_pos_hatching"
"15","m/z 358.19 Rt 5.826","exudate_pos_hatching"
"16","m/z 374.19 Rt 5.697","exudate_pos_hatching"
"17","m/z 289.18 Rt 7.593","exudate_pos_hatching"
"18","m/z 444.87 Rt 0.617","exudate_pos_hatching"
"19","m/z 582.75 Rt 18.49","exudate_pos_hatching"
"20","m/z 433.26 Rt 4.353","exudate_pos_hatching"
"21","m/z 525.17 Rt 7.95","exudate_neg_solA"
"22","SolanoeclepinA-like","exudate_neg_solA"
"23","m/z 265.10 Rt 8.53","exudate_neg_solA"
"24","m/z 296.93 Rt 8.71","exudate_neg_solA"
"25","m/z 297.11 Rt 9.82","exudate_neg_solA"
"26","m/z 646.25 Rt 8.34","exudate_neg_solA"
"27","m/z 704.88 Rt 0.57","exudate_neg_solA"
"28","m/z 363.18 Rt 10.62","exudate_neg_solA"
"29","m/z 317.10 Rt 10.22","exudate_neg_solA"
"30","m/z 426.12 Rt 9.68","exudate_neg_solA"
"31","m/z 758.34 Rt 5.294","exudate_pos_solA"
"32","m/z 491.16 Rt 13.39","exudate_pos_solA"
"33","m/z 747.30 Rt 6.036","exudate_pos_solA"
"34","m/z 244.15 Rt 4.984","exudate_pos_solA"
"35","m/z 312.20 Rt 6.266","exudate_pos_solA"
"36","m/z 260.18 Rt 5.378","exudate_pos_solA"
"37","m/z 456.12 Rt 8.555","exudate_pos_solA"
"38","m/z 246.16 Rt 4.853","exudate_pos_solA"
"39","m/z 458.14 Rt 8.471","exudate_pos_solA"
"40","m/z 258.16 Rt 5.430","exudate_pos_solA"
